subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,10626
Washington D.C.,twinned administrative body,Maryland,10626
Alabama,shares border with,Washington D.C.,10626
Arizona,shares border with,Washington D.C.,10626
California,shares border with,Washington D.C.,10626
Illinois,shares border with,Washington D.C.,10626
Missouri,shares border with,Washington D.C.,10626
Nevada,shares border with,Washington D.C.,10626
New Jersey,shares border with,Washington D.C.,10626
New York,shares border with,Washington D.C.,10626
Alabama,shares border with,Washington D.C.,10626
Arizona,shares border with,Washington D.C.,10626
California,shares border with,Washington D.C.,10626
Illinois,shares border with,Washington D.C.,10626
Missouri,shares border with,Washington D.C.,10626
Nevada,shares border with,Washington D.C.,10626
New Jersey,shares border with,Washington D.C.,10626
New Mexico,shares border with,Washington D.C.,10626
