subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,6743
Washington D.C.,twinned administrative body,Maryland,6743
Alabama,shares border with,Washington D.C.,6743
Arizona,shares border with,Washington D.C.,6743
California,shares border with,Washington D.C.,6743
Illinois,shares border with,Washington D.C.,6743
Missouri,shares border with,Washington D.C.,6743
Nevada,shares border with,Washington D.C.,6743
New Jersey,shares border with,Washington D.C.,6743
New York,shares border with,Washington D.C.,6743
Alabama,shares border with,Washington D.C.,6743
Arizona,shares border with,Washington D.C.,6743
California,shares border with,Washington D.C.,6743
Illinois,shares border with,Washington D.C.,6743
Missouri,shares border with,Washington D.C.,6743
Nevada,shares border with,Washington D.C.,6743
New Jersey,shares border with,Washington D.C.,6743
New Mexico,shares border with,Washington D.C.,6743
