subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,31300
Washington D.C.,twinned administrative body,Maryland,31300
Alabama,shares border with,Washington D.C.,31300
Arizona,shares border with,Washington D.C.,31300
California,shares border with,Washington D.C.,31300
Illinois,shares border with,Washington D.C.,31300
Missouri,shares border with,Washington D.C.,31300
Nevada,shares border with,Washington D.C.,31300
New Jersey,shares border with,Washington D.C.,31300
New York,shares border with,Washington D.C.,31300
Alabama,shares border with,Washington D.C.,31300
Arizona,shares border with,Washington D.C.,31300
California,shares border with,Washington D.C.,31300
Illinois,shares border with,Washington D.C.,31300
Missouri,shares border with,Washington D.C.,31300
Nevada,shares border with,Washington D.C.,31300
New Jersey,shares border with,Washington D.C.,31300
New Mexico,shares border with,Washington D.C.,31300
