subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,27373
Washington D.C.,twinned administrative body,Maryland,27373
Alabama,shares border with,Washington D.C.,27373
Arizona,shares border with,Washington D.C.,27373
California,shares border with,Washington D.C.,27373
Illinois,shares border with,Washington D.C.,27373
Missouri,shares border with,Washington D.C.,27373
Nevada,shares border with,Washington D.C.,27373
New Jersey,shares border with,Washington D.C.,27373
New York,shares border with,Washington D.C.,27373
Alabama,shares border with,Washington D.C.,27373
Arizona,shares border with,Washington D.C.,27373
California,shares border with,Washington D.C.,27373
Illinois,shares border with,Washington D.C.,27373
Missouri,shares border with,Washington D.C.,27373
Nevada,shares border with,Washington D.C.,27373
New Jersey,shares border with,Washington D.C.,27373
New Mexico,shares border with,Washington D.C.,27373
